Id,Command,Response,Start_time,End_time,Duration
0,command,b'ok',2022-01-31 15:57:43.856717,2022-01-31 15:57:43.917605,0.060888
1,wait,,2022-01-31 15:57:43.917711,,
2,land,b'error',2022-01-31 15:57:46.920994,2022-01-31 15:57:46.937990,0.016996
3,battery?,b'62\r\n',2022-01-31 15:57:46.938089,2022-01-31 15:57:46.989070,0.050981
4,streamon,b'ok',2022-01-31 15:57:46.989174,2022-01-31 15:57:47.448278,0.459104
5,wait,,2022-01-31 15:57:54.707971,,
6,takeoff,b'ok',2022-01-31 15:57:56.710317,2022-01-31 15:58:02.753950,6.043633
7,wait,,2022-01-31 15:58:02.754015,,
8,wait,,2022-01-31 15:58:05.821108,,
9,forward 50,b'ok',2022-01-31 15:58:07.823038,2022-01-31 15:58:09.690870,1.867832
10,wait,,2022-01-31 15:58:09.690933,,
11,cw 90,b'ok',2022-01-31 15:58:12.691031,2022-01-31 15:58:14.801001,2.10997
12,wait,,2022-01-31 15:58:14.801060,,
13,forward 50,b'ok',2022-01-31 15:58:17.803336,2022-01-31 15:58:19.829844,2.026508
14,wait,,2022-01-31 15:58:19.829896,,
15,cw 90,b'ok',2022-01-31 15:58:22.831046,2022-01-31 15:58:25.033414,2.202368
16,wait,,2022-01-31 15:58:25.033482,,
17,forward 50,b'ok',2022-01-31 15:58:28.035067,2022-01-31 15:58:30.083821,2.048754
18,wait,,2022-01-31 15:58:30.083899,,
19,cw 90,b'ok',2022-01-31 15:58:33.087027,2022-01-31 15:58:35.134716,2.047689
20,wait,,2022-01-31 15:58:35.134776,,
21,forward 50,b'ok',2022-01-31 15:58:38.135071,2022-01-31 15:58:40.136922,2.001851
22,wait,,2022-01-31 15:58:40.136989,,
23,cw 90,b'ok',2022-01-31 15:58:43.140130,2022-01-31 15:58:45.057670,1.91754
24,wait,,2022-01-31 15:58:45.057768,,
25,land,b'ok',2022-01-31 15:58:48.058973,2022-01-31 15:58:51.972556,3.913583
26,wait,,2022-01-31 15:58:51.972609,,
